date,beta,r2
2018-04-02,0.6965913307072567,0.6336948747300482
2018-04-03,0.7012181495606682,0.6503378757490998
2018-04-04,0.7244642595535215,0.6635839670479537
2018-04-05,0.7270338844584159,0.6672372721423652
2018-04-06,0.724737140582644,0.680597594857684
2018-04-09,0.7236423426794715,0.6911523127395532
2018-04-10,0.728262069027604,0.6880970354217357
2018-04-11,0.7091944255547721,0.6938061016069053
2018-04-12,0.714724347972336,0.7026958016406073
2018-04-13,0.712871130407768,0.7033098815252696
2018-04-16,0.7156562940998912,0.6978395441840133
2018-04-17,0.7048459981872517,0.6830236058173472
2018-04-18,0.7047430597509243,0.6850888964796977
2018-04-19,0.7107650204579186,0.685501520776407
2018-04-20,0.7113051494826856,0.6883465954665055
2018-04-23,0.7108558974333596,0.6911607329687626
2018-04-24,0.7099822451659282,0.6839872678879855
2018-04-25,0.7187906458390803,0.6960306784765851
2018-04-26,0.7171021688075118,0.6918634655755656
2018-04-27,0.7266722043263589,0.7002821320086039
2018-04-30,0.7292397120148892,0.6822413387548396
2018-05-01,0.7295384725434874,0.6857817400729891
2018-05-02,0.7142181264224793,0.6723418655564
2018-05-03,0.7035795895287551,0.6253026473237098
2018-05-04,0.7184383397627508,0.6282914740728616
2018-05-07,0.7038063254667575,0.6169028653798225
2018-05-08,0.6971619086367677,0.5679158887634337
2018-05-09,0.7128497217281511,0.5601207320117684
2018-05-10,0.7015146816555992,0.5515454947800278
2018-05-11,0.711614276237355,0.5610796018849303
2018-05-14,0.7026220933469994,0.5384648971962825
2018-05-15,0.6813070938998989,0.528090578404639
2018-05-16,0.6803028056694745,0.5299555478918394
2018-05-17,0.6791600169525366,0.5283040910083221
2018-05-18,0.685686439011425,0.5369215750180942
2018-05-21,0.6883178477504092,0.5347324833024212
2018-05-22,0.7385709352079335,0.5902666142067176
2018-05-23,0.7311261597126428,0.5798358959496799
2018-05-24,0.7151059815441002,0.5628579257590368
2018-05-25,0.7155989487316338,0.546863965496245
2018-05-29,0.7290507502881458,0.536856966869226
2018-05-30,0.7418350268803922,0.5456414439545578
2018-05-31,0.7661413025701052,0.563147763668646
2018-06-01,0.7640251070118604,0.5652576478747959
2018-06-04,0.7438826758766479,0.5417477298293392
2018-06-05,0.7276863778592149,0.4781399748229961
2018-06-06,0.7402198245679272,0.46053896054240173
2018-06-07,0.7319565719690623,0.4576575351684864
2018-06-08,0.7358072352537034,0.4539433257347283
2018-06-11,0.7446019338478138,0.45939160587186456
2018-06-12,0.7440130215427361,0.4565992408135615
2018-06-13,0.7449755413517412,0.46064662870472073
2018-06-14,0.7825017963194515,0.4948930146143985
2018-06-15,0.7796875887002446,0.4971547847799134
2018-06-18,0.782436791486814,0.5011597229500204
2018-06-19,0.801516004064007,0.4829213775668988
2018-06-20,0.8266155452983206,0.475260897368328
2018-06-21,0.7345084596203464,0.39482244359296703
2018-06-22,0.7291772003080255,0.3744276056306012
2018-06-25,0.7249230370142918,0.36839907303663233
2018-06-26,0.7141919727740724,0.36442468698913244
2018-06-27,0.7252853767717566,0.33253432008597705
2018-06-28,0.6963091882335979,0.3195401768507973
2018-06-29,0.6801799623459817,0.3050638164695434
2018-07-02,0.6737076154285895,0.2930551797991463
2018-07-03,0.6990058139678716,0.2689811303747397
2018-07-05,0.6632079552608849,0.25266698593247383
2018-07-06,0.6749338405505274,0.2459247058928048
2018-07-09,0.7026005789978487,0.2611585456084716
2018-07-10,0.730141957194334,0.27258500211108916
2018-07-11,0.7167815814359477,0.26536393900107313
2018-07-12,0.7676885003437153,0.29929113750708025
2018-07-13,0.7902522798440156,0.3056627110343535
2018-07-16,0.7894687218339009,0.31105315779474085
2018-07-17,0.8053362362767105,0.31796223248647915
2018-07-18,0.8242652712885824,0.3222187164847159
2018-07-19,0.8226768765150527,0.3234322410464595
2018-07-20,0.8534795489529292,0.3205569229999732
2018-07-23,0.8462483457644894,0.31291877567312787
2018-07-24,0.8187110601411561,0.29241636237295576
2018-07-25,0.8399952965333828,0.3223027903665875
2018-07-26,0.8992510126608992,0.3414983086843518
2018-07-27,0.915246059191255,0.34528601659372515
2018-07-30,0.8849005948426751,0.32328434230999437
2018-07-31,0.8594233886345215,0.3090021548999363
2018-08-01,0.897768380297997,0.3165204919919494
2018-08-02,0.8954423164611623,0.31633741274209004
2018-08-03,0.872615153233637,0.3110146220621731
2018-08-06,0.8456922830699926,0.28767632698341283
2018-08-07,0.7782867457362292,0.25698345976967696
2018-08-08,0.7866270230056427,0.2653593179947943
2018-08-09,0.7861763501844763,0.2679930987966368
2018-08-10,0.8064800632854137,0.2731227422877218
2018-08-13,0.8520614577651682,0.29254006388497056
2018-08-14,0.863879071782853,0.2990039333389949
2018-08-15,0.7980013285030265,0.24874936179782858
2018-08-16,0.7925657690276762,0.2508021343675435
2018-08-17,0.8431610235519136,0.27949302280780186
2018-08-20,0.8556455524866411,0.2842898732380279
2018-08-21,0.8548605829801836,0.27340633746959087
2018-08-22,0.8497798105510272,0.26688491683753
2018-08-23,0.8238460912050727,0.23893583222678216
2018-08-24,0.7729184321733158,0.20070421911498237
2018-08-27,0.8116335508578725,0.212257173645508
2018-08-28,0.8994828134018573,0.250113658538034
2018-08-29,0.9654618296202984,0.3164733948996735
2018-08-30,0.970031071979268,0.3357058275847037
2018-08-31,1.039989732261767,0.3607461352796516
2018-09-04,1.0294105930479205,0.3534550006742778
2018-09-05,1.040342124313241,0.3508918049962949
2018-09-06,1.0458122871806217,0.3579173108153113
2018-09-07,1.033475801890832,0.35266245838791965
2018-09-10,1.0504382016463265,0.36057460028828825
2018-09-11,1.054332915332753,0.36266646339972275
2018-09-12,1.0573106058221502,0.36421346186288894
